Date,Close,Open,High,Low ,Volume,Rise/Fall
2012/12/1,2522.95,2136.7,2522.95,2102.14,1.43M,0.1791
2012/11/1,2139.66,2256.61,2318.23,2109.96,708.31K,-0.0511
2012/10/1,2254.82,2291.96,2347.9,2227.65,682.77K,-0.0167
2012/9/1,2293.11,2201.12,2341.52,2172.88,900.18K,0.04
2012/8/1,2204.87,2332.13,2413.42,2188.72,767.01K,-0.0549
2012/7/1,2332.92,2473.54,2490.55,2329.5,828.94K,-0.0523
2012/6/1,2461.61,2633.6,2653.86,2417.49,757.12K,-0.0648
2012/5/1,2632.04,2660.67,2717.82,2545.34,1.14M,0.0022
2012/4/1,2626.16,2449.21,2643.77,2441.27,870.21K,0.0698
2012/3/1,2454.9,2622.74,2705.75,2429.73,1.23M,-0.068
2012/2/1,2634.14,2458.23,2693.84,2423.45,1.21M,0.0689
2012/1/1,2464.26,2361.5,2510.34,2254.57,742.77K,0.0505
2011/12/1,2345.74,2596.15,2630.66,2267.11,713.63K,-0.0697
2011/11/1,2521.52,2672.51,2781.99,2507.18,953.91K,-0.0645
2011/10/1,2695.31,2588.35,2729.14,2500.49,762.68K,0.0441
2011/9/1,2581.35,2852.39,2869.25,2572.19,702.29K,-0.0932
2011/8/1,2846.78,2969.11,2991.05,2697.06,1.08M,-0.0422
2011/7/1,2972.08,3052.12,3140.1,2948.08,1.16M,-0.0237
2011/6/1,3044.09,2996.08,3058.63,2862.41,1.01M,0.0142
2011/5/1,3001.56,3192.84,3212.05,2942.36,968.54K,-0.0599
2011/4/1,3192.72,3227.56,3380.53,3147.14,1.49M,-0.0095
2011/3/1,3223.29,3241.71,3355.49,3147.96,1.85M,-0.005
2011/2/1,3239.56,3083.49,3269.05,3024.35,1.20M,0.053
2011/1/1,3076.51,3155.56,3209.9,2919.16,1.27M,-0.0165
2010/12/1,3128.26,3127.26,3282.77,3025.22,1.44M,-0.0028
2010/11/1,3136.99,3390.41,3557.99,3060.44,2.30M,-0.0719
2010/10/1,3379.98,2965.65,3499.82,2963.24,2.27M,0.1514
2010/9/1,2935.57,2907.66,2991.44,2829.76,1.26M,0.0112
2010/8/1,2903.19,2868.28,2975.19,2799.22,1.46M,0.012
2010/7/1,2868.85,2557.92,2888.6,2462.2,1.17M,0.1193
2010/6/1,2563.07,2755.28,2795.32,2546.84,751.57K,-0.0758
2010/5/1,2773.26,3005.49,3056.08,2647.6,1.05M,-0.0959
2010/4/1,3067.36,3349.88,3436.29,3014.07,1.31M,-0.0832
